type	!name	!seq	!menuEntry
tlin	!void	!001	!
tlin	!corr	!002	!
tlin	!pnam1	!003	!
tlin	!pnam2	!004	!
tlin	!padd1	!005	!
tlin	!padd2	!006	!
tlin	!pcity	!007	!
tlin	!pST	!008	!
tlin	!pctry	!009	!
tlin	!pzip	!010	!
tlin	!ptel	!011	!
tlin	!pTIN	!012	!
tlin	!rTIN	!013	!
tlin	!rname	!014	!
tlin	!raddr	!015	!
tlin	!rcity	!016	!
tlin	!rST	!017	!
tlin	!rctry	!018	!
tlin	!rzip	!019	!
tlin	!FATCA	!020	!
tlin	!actNo	!021	!
tlin	!2TIN	!022	!
dlin	!01a	!023	!
dlin	!01b	!024	!
tlin	!20yr	!025	!
dlin	!02a	!026	!
dlin	!02b	!027	!
dlin	!02c	!028	!
dlin	!02d	!029	!
dlin	!02e	!030	!
dlin	!02f	!031	!
dlin	!03	!032	!
tlin	!04	!033	!
dlin	!05	!034	!
tlin	!06	!035	!
dlin	!07	!036	!
dlin	!08	!037	!
dlin	!09	!038	!
dlin	!10	!039	!
dlin	!12	!040	!
tlin	!13	!041	!
tlin	!14a	!042	!
dlin	!15a	!043	!
tlin	!16a	!044	!
tlin	!14b	!045	!
dlin	!15b	!046	!
dlin	!16b	!047	!
