type	!name	!seq	!menuEntry
tlin	!TFNI	!001	!
tlin	!TLN	!002	!
tlin	!SFNI	!003	!
tlin	!SLN	!004	!
tlin	!TSSNoF	!005	!
tlin	!TSSNoM	!006	!
tlin	!TSSNoL	!007	!
tlin	!Enrol1	!008	!
tlin	!Enrol2	!009	!
tlin	!Enrol3	!010	!
tlin	!Inst1	!011	!
tlin	!Inst2	!012	!
tlin	!Inst3	!013	!
tlin	!Inst4	!014	!
tlin	!Inst5	!015	!
tlin	!Inst6	!016	!
dlin	!02	!017	!
dlin	!03	!018	!
dlin	!04	!019	!
dlin	!05	!020	!
dlin	!06	!021	!
dlin	!07	!022	!
dlin	!08	!023	!
dlin	!09	!024	!
dlin	!10	!025	!
dlin	!11	!026	!
dlin	!12	!027	!
dlin	!13	!028	!
dlin	!14	!029	!
dlin	!0601	!030	!
dlin	!0602	!031	!
dlin	!0603	!032	!
dlin	!0604	!033	!
dlin	!0605	!034	!
dlin	!0606	!035	!
dlin	!0901	!036	!
dlin	!0902	!037	!
dlin	!0903	!038	!
dlin	!0904	!039	!
dlin	!0905	!040	!
