type	!name	!seq	!menuEntry
tlin	!TFNI	!001	!                              
tlin	!TLN	!002	!                              
tlin	!SFNI	!003	!                              
tlin	!SLN	!004	!                              
tlin	!TSSNoF	!005	!                              
tlin	!TSSNoM	!006	!                              
tlin	!TSSNoL	!007	!                              
dlin	!QOFy	!008	!                              
dlin	!QOFn	!009	!                              
dlin	!01ad	!010	!                              
dlin	!01ae	!011	!                              
dlin	!01ah	!012	!                              
dlin	!01bd	!013	!                              
dlin	!01be	!014	!                              
dlin	!01bg	!015	!                              
dlin	!01bh	!016	!
dlin	!02d	!017	!
dlin	!02e	!018	!
dlin	!02g	!019	!
dlin	!02h	!020	!
dlin	!03d	!021	!
dlin	!03e	!022	!
dlin	!03g	!023	!
dlin	!03h	!024	!
dlin	!04	!025	!                              
dlin	!05	!026	!                              
dlin	!06	!027	!                              
dlin	!07	!028	!                              
dlin	!08ad	!029	!                              
dlin	!08ae	!030	!                              
dlin	!08ah	!031	!                              
dlin	!08bd	!032	!                              
dlin	!08be	!033	!                              
dlin	!08bg	!034	!                              
dlin	!08bh	!035	!                              
dlin	!09d	!036	!                              
dlin	!09e	!037	!                              
dlin	!09g	!038	!                              
dlin	!09h	!039	!                              
dlin	!10d	!040	!                              
dlin	!10e	!041	!                              
dlin	!10g	!042	!                              
dlin	!10h	!043	!                              
dlin	!11	!044	!                              
dlin	!12	!045	!                              
dlin	!13	!046	!                              
dlin	!14	!047	!                              
dlin	!15	!048	!                              
dlin	!16	!049	!                              
tlin	!17y	!050	!                              
tlin	!17n	!051	!                              
dlin	!18	!052	!                              
dlin	!19	!053	!                              
tlin	!20y	!054	!                              
tlin	!20n	!055	!                              
dlin	!21	!056	!                              
dlin	!22y	!057	!                              
dlin	!22n	!058	!                              
