type	!name	!seq	!menuEntry                     
tlin	!TFNI	!001	!                              
tlin	!TLN	!002	!                              
tlin	!TSSNoF	!003	!                              
tlin	!TSSNoM	!004	!                              
tlin	!TSSNoL	!005	!                              
tlin	!SFNI	!006	!                              
tlin	!SLN	!007	!                              
tlin	!SSSNoF	!008	!                              
tlin	!SSSNoM	!009	!                              
tlin	!SSSNoL	!010	!                              
tlin	!FS	!011	!                              
tlin	!Apart	!012	!                              
